,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,correct
2051999.6,0,0,0,0,2,1,0,0,4,2,0,1,0,0,0,1,1,0,1,0,1,3,1,0,0,0,0,0,0,0,0,1
2052099.6,0,0,0,0,2,0,0,1,4,2,0,1,0,0,0,1,2,0,0,0,7,4,1,0,0,0,0,0,0,0,0,1
2052199.6,0,0,0,0,3,1,0,0,3,1,0,0,0,0,0,0,4,0,0,0,3,3,0,0,0,0,0,0,0,0,0,1
2052299.6,0,0,0,0,1,1,0,0,3,1,0,1,0,0,1,0,1,0,0,0,1,3,1,0,0,0,0,0,0,0,0,1
2052399.6,1,0,0,0,2,0,0,0,5,0,0,0,0,0,0,0,6,0,0,0,6,0,1,0,0,0,0,0,0,0,0,1
2052499.6,0,0,0,0,2,1,0,0,3,0,0,0,0,0,0,0,1,0,0,0,3,1,1,0,4,0,0,0,0,0,0,1
2052599.6,0,0,0,0,3,1,0,0,4,1,0,0,0,0,0,1,1,0,0,0,6,1,0,0,4,0,0,0,0,0,0,1
2052699.6,0,0,0,0,1,1,0,0,1,3,0,0,0,0,0,0,1,0,0,0,1,1,1,0,5,0,0,0,0,0,0,1
2052799.6,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,3,0,0,0,2,0,0,0,0,0,0,1
2052899.6,0,0,0,0,2,0,1,0,1,0,0,0,0,0,1,0,3,0,0,0,3,2,0,0,4,0,0,0,0,0,0,1
2052999.6,0,0,0,0,1,1,0,0,2,1,0,1,0,0,0,0,3,0,0,0,4,0,1,0,6,0,0,0,0,0,0,1
2053099.6,0,0,0,0,1,1,1,0,1,2,0,0,0,0,0,0,4,0,0,0,2,2,0,0,6,0,0,0,0,0,0,1
2053199.6,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,2,0,0,0,4,2,1,0,1,0,0,0,0,0,0,1
2053299.6,0,0,0,0,1,1,0,0,2,3,0,0,0,0,0,0,2,0,0,0,4,2,1,0,3,0,0,0,0,0,0,1
